ARIMA,AAPL,MSFT,AMZN,GOOGL,BRK.B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,AIC_CAT,,,,,
ARIMA 217,-12702.98535,-10464.82878,-4414.51784,-1322.199586,5128.357175,4746.705034,-9101.573312,-2034.358487,-5972.454997,-10696.70624,-1054.081287,-10693.79999,-939.3702244,-10597.95387,-8638.505992,-23210.08401,-13442.56167,-23915.22621,-6614.915015,-9298.570984,,,,,
ARIMA 217d,-12704.19854,-10477.89543,-4407.457936,-1326.042064,5125.84219,4747.275576,-9105.979403,-2038.041488,-5984.811147,-10699.4626,-1059.435419,-10705.59414,-940.120928,-10602.38366,-8651.444596,-23211.32743,-13442.74031,-23917.3735,-6613.483464,-9297.063698,,,,,
ARIMA 218,-12700.86211,-10470.40065,-4407.11105,-1320.72417,5130.408542,4739.168552,-9101.489541,-2032.197799,-5971.187111,-10694.70863,-1052.914625,-10692.12318,-932.1470594,-10596.93068,-8637.47323,-23210.00338,-13440.79715,-23915.48996,-6612.92214,-9296.661777,,,,,
ARIMA 218d,-12702.3447,-10484.11227,-4413.221958,-1325.615392,5127.862689,4739.735444,-9108.653008,-2037.32699,-5983.506521,-10697.46965,-1058.458232,-10706.60253,-932.8175912,-10601.79785,-8650.840891,-23210.09172,-13441.3524,-23917.52118,-6611.513901,-9295.163914,,,,,
ARIMA 219,-12698.88062,-10471.4032,-4405.151464,-1318.610322,5130.365695,4743.890906,-9099.027171,-2030.134767,-5969.543301,-10692.73997,-1054.615905,-10690.73859,-948.708859,-10595.55548,-8634.921001,-23206.29417,-13440.75693,-23913.49536,-6612.976979,-9293.785282,,,,,V
ARIMA 219d,-12700.21931,-10483.41829,-4411.224503,-1323.530913,5124.361034,4744.090951,-9106.803721,-2035.589916,-5981.793314,-10695.56794,-1065.104255,-10702.2189,-949.1878157,-10600.74494,-8648.837707,-23210.53281,-13441.62053,-23915.53882,-6611.275663,-9292.239416,,,1,ARIMA 310,-10700.29664
ARIMA 310,-12695.49317,-10465.66825,-4412.176935,-1310.728739,5139.649343,4738.294789,-9106.870933,-2024.033634,-5976.573729,-10701.44954,-1061.962377,-10700.29664,-942.2554488,-10600.90855,-8642.743516,-23219.0781,-13446.40708,-23917.80236,-6621.325947,-9293.898924,,,2,ARIMA 310d,-10709.98101
ARIMA 310d,-12696.99115,-10473.29111,-4417.067185,-1312.951745,5137.807571,4738.912802,-9113.427841,-2026.391745,-5982.745576,-10703.83516,-1065.940535,-10709.98101,-942.7239779,-10605.45492,-8653.531083,-23219.83296,-13446.21736,-23919.09101,-6619.956861,-9292.357384,,,3,ARIMA 311,-10700.01432
ARIMA 311,-12693.494,-10463.99478,-4410.419727,-1308.733296,5141.292351,4738.79117,-9105.451609,-2022.039046,-5974.578182,-10700.77806,-1062.943886,-10700.01432,-940.7876097,-10598.90638,-8643.07599,-23217.07805,-13444.40994,-23915.80031,-6619.527416,-9291.898228,,,,ARIMA 311d,-10717.4789
ARIMA 3110,-12697.09286,-10467.79955,-4405.183851,-1321.019084,5126.811431,4742.254456,-9103.312179,-2032.328234,-5978.173578,-10688.74511,-1056.082544,-10690.0189,-936.1734459,-10591.93972,-8631.876594,-23206.21669,-13436.58374,-23914.47538,-6609.052167,-9286.203731,,,,ARIMA 312,-10698.47966
ARIMA 3110d,-12702.74381,-10479.57052,-4411.344698,-1325.937713,5128.339878,4742.436869,-9109.710302,-2037.456913,-5992.50621,-10691.57761,-1058.452512,-10709.12034,-936.0923381,-10597.57609,-8645.086056,-23207.07514,-13437.10728,-23916.00122,-6607.637797,-9284.668788,,,,ARIMA 312d,-10710.43872
ARIMA 311d,-12694.99278,-10471.63931,-4415.497883,-1310.953757,5139.436085,4738.969149,-9111.761476,-2024.394649,-5980.745694,-10703.23489,-1073.879995,-10717.4789,-941.2910796,-10603.45465,-8657.076415,-23217.83393,-13444.3598,-23917.09374,-6618.164048,-9290.356817,,,,ARIMA 313,-10700.22106
ARIMA 312,-12691.48054,-10467.25211,-4413.783415,-1313.804042,5126.52411,4732.664253,-9104.492352,-2026.968633,-5988.357736,-10699.08856,-1060.869144,-10698.47966,-942.4801765,-10600.86479,-8642.171028,-23215.07179,-13444.18539,-23914.44348,-6619.20143,-9289.897323,,,,ARIMA 313d,-10712.03529
ARIMA 312d,-12692.98635,-10480.50799,-4413.430705,-1318.278584,5124.600062,4740.975285,-9111.384652,-2031.959788,-5978.746297,-10701.42398,-1071.699376,-10710.43872,-943.0728595,-10601.44377,-8656.192776,-23219.63605,-13444.73298,-23916.64219,-6617.94025,-9288.355818,,,,ARIMA 314,-10697.66238
ARIMA 313,-12696.02398,-10473.47921,-4416.209914,-1325.49584,5125.677778,,-9102.953706,-2036.563185,-5976.661236,-10714.48051,-1059.036164,-10700.22106,-942.3243389,-10595.48842,-8640.145608,-23216.04473,-13453.16097,-23922.28065,-6618.294134,-9300.45143,,,,ARIMA 314d,-10709.3008
